threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.4,0.7808802650260294,0.6647917286877463,0.7897091722595079,0.9419613075383589,0.8591420748402799,0.41478684047637293,238,376,87,1412,0.7880492532480938,0.8747242867201213,0.16837136831649702,1148894075.9262555,1142872286.255375,6021789.670880642,376,87,543726.4912097754,3039553.9528068476,69215.97322851312,2
0.35,0.7747278750591576,0.6359359008068355,0.7725093233883857,0.9673115410273516,0.8590047393364929,0.39188715557331066,187,427,49,1450,0.7880492532480938,0.8747242867201213,0.16837136831649702,1203894395.447822,1198058025.445358,5836370.002464054,427,49,569755.9845943314,2805756.4998720335,119109.59188702154,2
0.3,0.7643161381921438,0.6103281666605098,0.7591921284308648,0.9779853235490327,0.8548104956268222,0.3570874346198037,149,465,33,1466,0.7880492532480938,0.8747242867201213,0.16837136831649702,1276260144.5326083,1275743606.578026,516537.9545822219,465,33,604003.8544877465,2743534.637802206,15652.665290370362,2
0.25,0.7496450544249882,0.57402600647989,0.7415338645418327,0.9933288859239493,0.8491588252067294,0.30933055072657767,95,519,10,1489,0.7880492532480938,0.8747242867201213,0.16837136831649702,1336210226.8033366,1336093077.0133367,117149.79000000597,519,10,632375.8763858668,2574360.456673095,11714.979000000598,2
0.2,0.7373402744912447,0.5504494853246356,0.7309197651663405,0.9966644429619747,0.8433530906011855,0.25775479107132937,64,550,5,1494,0.7880492532480938,0.8747242867201213,0.16837136831649702,1354823368.1076028,1354706379.2076027,116988.90000000596,550,5,641184.7459098925,2463102.5076501863,23397.780000001192,2
0.15,0.7165168007572172,0.512214983713355,0.7144899904671115,1.0,0.8334723380594941,0.13211724790435936,15,599,0,1499,0.7880492532480938,0.8747242867201213,0.16837136831649702,1372576824.4610054,1372576824.4610054,0.0,599,0,649586.7602749671,2291447.1193005093,0.0,2
0.05,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.7880492532480938,0.8747242867201213,0.16837136831649702,1376306775.1810052,1376306775.1810052,0.0,614,0,651351.9996124019,2241541.979122158,0.0,2
0.1,0.7094178892569806,0.5,0.7094178892569806,1.0,0.8300110741971207,0.0,0,614,0,1499,0.7880492532480938,0.8747242867201213,0.16837136831649702,1376306775.1810052,1376306775.1810052,0.0,614,0,651351.9996124019,2241541.979122158,0.0,2
0.75,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534,3
0.8,0.37008991954566967,0.5,0.0,0.0,0.0,0.0,782,0,1331,0,0.8751121688017971,0.8920332192871993,0.15739077608776375,137453448.81976286,0.0,137453448.81976286,0,1331,65051.324571586774,0.0,103270.81053325534,3
