PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0007057674,FEDERIS ISR ACTIONS US MM,4351.99,2026-03-19T00:00:00,P,6115,1,7530823.43,7530823.43,26612418.849999998,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,7530823.43,19081595.419999998,0,26612418.849999998,19081595.419999998,INPR AG,Hors mandat INPR AG,0,19081595.419999998,26612418.849999998,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,,
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3263.23,2026-03-19T00:00:00,P,4166,1,4766835.38,4766835.38,13594616.180000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,4766835.38,8827780.8,-0.0189226095922859,13337370.565468889,8570535.18546889,INPR AG,Hors mandat INPR AG,0,8570535.18546889,13337370.565468889,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0014010YJ4,LBPAM ISR Actions Focus Euro I2,10047.12,2026-03-19T00:00:00,P,191.82795,1,477592.1998118414,477592.1998118414,1927318.43,PP,FC_Act_EUR,,FR41,12771012,PP_FAC_Act_EUR_LC,477592.1998118414,1449726.2301881586,-0.0189226095922859,1890848.5357890925,1413256.3359772512,INPR AG,Hors mandat INPR AG,0,1413256.3359772512,1890848.5357890925,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0007021936,FEDERIS ISR FRANCE MH,445.13,2026-03-19T00:00:00,P,11000,1,1414820,1414820,4896430,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,1414820,3481610,-0.0189226095922859,4803776.766714044,3388956.766714044,INPR AG,Hors mandat INPR AG,0,3388956.766714044,4803776.766714044,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3333.05,2026-03-19T00:00:00,P,3900,1,5566093.5,5566093.5,12998895,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,5566093.5,7432801.5,-0.0189226095922859,12752921.984783884,7186828.484783884,INPR AG,Hors mandat INPR AG,0,7186828.484783884,12752921.984783884,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,71023.06059,1,12776999.594229193,12776999.594229193,34257973.28,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,12776999.594229193,21480973.68577081,-0.0189226095922859,33609723.0261996,20832723.43197041,INPR AG,Hors mandat INPR AG,0,20832723.43197041,33609723.0261996,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0000986531,SELECTION VALEURS MOYENNES,938.76,2026-03-19T00:00:00,P,9833,1,4420615.980000001,4420615.98,9230827.08,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4420615.98,4810211.1,-0.0189226095922859,9056155.742951259,4635539.762951259,INPR AG,Hors mandat INPR AG,0,4635539.762951259,9056155.742951259,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6182.52,2026-03-19T00:00:00,P,700,1,2869788,2869788,4327764,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2869788,1457976,-0.0189226095922859,4245871.411420451,1376083.4114204505,INPR AG,Hors mandat INPR AG,0,1376083.4114204505,4245871.411420451,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,INPR,INP2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1414.07,2026-03-19T00:00:00,P,4140,1000,4983525,4983525,5854249.8,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,4983525,870724.7999999998,-0.0189226095922859,5743472.116578883,759947.1165788826,INPR AG,Hors mandat INPR AG,0,759947.1165788826,5743472.116578883,PP_FAC_Act,INPR HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
EXPORT_PRMP_ADP,2026-03-23T00:00:00,Groupe MH,MHP,MHP1R,FR0007475975,MH Lazard action euro LC,482.35,2026-03-19T00:00:00,P,31529.50403,1,9380768.959800778,9380768.959800778,15208256.27,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,9380768.959800778,5827487.310199222,-0.0189226095922859,14920476.374023356,5539707.414222578,MHP PERE,Mandats LBPAM MHP PERE,0,5539707.414222578,14920476.374023356,PP_FAC_Act,MHP PERE HM ACT COTE,2026-03-23T00:00:00,M7EM,2026-03-20T00:00:00
