PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0010831693,Ostrum SRI Cash Plus I C EUR,111077.06,2026-01-18T00:00:00,P,2,1,222154.12,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,222154.12,0,0,222154.12,0,EMUT AG,Hors mandat EMUT AG,0,0,222154.12,PP_Mon_Fonds,EMUT HORS MDT COTE,Monetaire,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Value Euro ISR GP,179.02,2026-01-15T00:00:00,P,1064,1,190477.28,PP,FC_Act_EUR,,FR41,12238661,PP_FAC_Act_EUR_LC,190477.28,0,0,190477.28,0,EMUT AG,Hors mandat EMUT AG,0,0,190477.28,PP_FAC_Act,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,249.36,2026-01-15T00:00:00,P,361.7122,1,90196.55,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,90196.55,0,0,90196.55,0,EMUT AG,Hors mandat EMUT AG,0,0,90196.55,PP_FAC_Act,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0007045950,FEDERIS ISR EURO M,2390.61,2026-01-15T00:00:00,P,353,1,843885.33,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,843885.33,0,0,843885.33,0,EMUT AG,Hors mandat EMUT AG,0,0,843885.33,PP_FAC_Act,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,952.76,2026-01-15T00:00:00,P,119,1,113378.44,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,113378.44,0,0,113378.44,0,EMUT AG,Hors mandat EMUT AG,0,0,113378.44,PP_FAC_Act,EMUT HORS MDT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,INPR,INP2C,FR0007057674,FEDERIS ISR ACTIONS US MM,4487.68,2026-01-15T00:00:00,P,6115,1,27442163.2,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,27442163.2,0,0,27442163.2,0,INPR AG,Hors mandat INPR AG,0,0,27442163.2,PP_FAC_Act,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,INPR,INP2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3480.21,2026-01-15T00:00:00,P,4166,1,14498554.86,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,14498554.86,0,0,14498554.86,0,INPR AG,Hors mandat INPR AG,0,0,14498554.86,PP_FAC_Act,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,INPR,INP2C,FR0010831693,Ostrum SRI Cash Plus I C EUR,111196.26,2026-01-18T00:00:00,P,216.3,1,24051751.04,PP,FC_Mon,PP_Mon_Fonds,FR43,4284156,PP_Mon_Fonds,24051751.04,0,0,24051751.04,0,INPR AG,Hors mandat INPR AG,0,0,24051751.04,PP_Mon_Fonds,INPR HM ACT COTE,Monetaire,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,INPR,INP2C,FR0014010YJ4,LBPAM ISR Actions Focus Euro I2,10571.63,2026-01-15T00:00:00,P,191.82795,1,2027934.11,PP,FC_Act_EUR,,FR41,12771012,PP_FAC_Act_EUR_LC,2027934.11,0,0,2027934.11,0,INPR AG,Hors mandat INPR AG,0,0,2027934.11,PP_FAC_Act,INPR HM ACT COTE,,
EXPORT_PRMP_ADP,2026-01-19T00:00:00,Groupe MH,INPR,INP2C,FR0007442041,UBS MM FRA ACT,12989.36,2026-01-09T00:00:00,P,2053,1,26667156.080000002,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8615533,PP_FAC_Act_EUR_LC,26667156.080000002,0,0,26667156.080000002,0,INPR AG,Hors mandat INPR AG,0,0,26667156.080000002,PP_FAC_Act,INPR HM ACT COTE,,
