PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Asset],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[PFMIndice.Date J]
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,EMUT,EMU2A,FR0013230042,Tocqueville Value Euro ISR GP,179.02,2026-01-19T00:00:00,P,1064,1,168303.52000000002,168303.52000000002,190477.28,PP,FC_Act_EUR,,FR41,12238661,PP_FAC_Act_EUR_LC,168303.52000000002,22173.75999999998,,0,190477.28,22173.75999999998,EMUT AG,Hors mandat EMUT AG,0,22173.75999999998,190477.28,PP_FAC_Act,EMUT HORS MDT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,EMUT,EMU2A,FR0010702084,INSERTION EMP DYN RC,249.36,2026-01-19T00:00:00,P,361.7122,1,70081.9999062084,70081.9999062084,90196.55,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,3030930,PP_FAC_Act_EUR_LC,70081.9999062084,20114.550093791608,,0,90196.55,20114.550093791608,EMUT AG,Hors mandat EMUT AG,0,20114.550093791608,90196.55,PP_FAC_Act,EMUT HORS MDT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,EMUT,EMU2A,FR0007045950,FEDERIS ISR EURO M,2390.61,2026-01-19T00:00:00,P,353,1,688148.44,688148.44,843885.33,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,688148.44,155736.89,,0,843885.33,155736.89,EMUT AG,Hors mandat EMUT AG,0,155736.89,843885.33,PP_FAC_Act,EMUT HORS MDT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,EMUT,EMU2A,FR0000986531,SELECTION VALEURS MOYENNES,952.76,2026-01-19T00:00:00,P,119,1,102688.67,102688.67,113378.44,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,102688.67,10689.770000000004,,0,113378.44,10689.770000000004,EMUT AG,Hors mandat EMUT AG,0,10689.770000000004,113378.44,PP_FAC_Act,EMUT HORS MDT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007057674,FEDERIS ISR ACTIONS US MM,4500.43,2026-01-16T00:00:00,P,6115,1,7530823.43,7530823.43,27520129.450000003,PP,FC_Act_US,PP_FAC_Act_US_LC,FR41,5876542,PP_FAC_Act_US_LC,7530823.43,19989306.020000003,,0,27520129.450000003,19989306.020000003,INPR AG,Hors mandat INPR AG,0,19989306.020000003,27520129.450000003,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3434.82,2026-01-19T00:00:00,P,4166,1,4766835.38,4766835.38,14309460.12,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,4766835.38,9542624.739999998,,0,14309460.12,9542624.739999998,INPR AG,Hors mandat INPR AG,0,9542624.739999998,14309460.119999997,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0014010YJ4,LBPAM ISR Actions Focus Euro I2,10410.43,2026-01-19T00:00:00,P,191.82795,1,477592.1998118414,477592.1998118414,1997011.45,PP,FC_Act_EUR,,FR41,12771012,PP_FAC_Act_EUR_LC,477592.1998118414,1519419.2501881586,,0,1997011.45,1519419.2501881586,INPR AG,Hors mandat INPR AG,0,1519419.2501881586,1997011.45,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007442041,UBS MM FRA ACT,12882.64,2026-01-16T00:00:00,P,2053,1,6495313.97,6495313.97,26448059.92,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,8615533,PP_FAC_Act_EUR_LC,6495313.97,19952745.950000003,,0,26448059.92,19952745.950000003,INPR AG,Hors mandat INPR AG,0,19952745.950000003,26448059.92,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007021936,FEDERIS ISR FRANCE MH,467.63,2026-01-19T00:00:00,P,11000,1,1414820,1414820,5143930,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,1414820,3729110,,0,5143930,3729110,INPR AG,Hors mandat INPR AG,0,3729110,5143930,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3515.85,2026-01-19T00:00:00,P,3900,1,5566093.5,5566093.5,13711815,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,5566093.5,8145721.5,,0,13711815,8145721.5,INPR AG,Hors mandat INPR AG,0,8145721.5,13711815,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007045950,FEDERIS ISR EURO M,2453.61,2026-01-19T00:00:00,P,15000,1,12776999.620000001,12776999.620000001,36804150,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873492,PP_FAC_Act_EUR_LC,12776999.620000001,24027150.38,,0,36804150,24027150.38,INPR AG,Hors mandat INPR AG,0,24027150.38,36804150,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0000986531,SELECTION VALEURS MOYENNES,994.21,2026-01-19T00:00:00,P,9833,1,4420615.980000001,4420615.98,9776066.93,PP,FC_Act_EUR,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4420615.98,5355450.949999999,,0,9776066.93,5355450.949999999,INPR AG,Hors mandat INPR AG,0,5355450.949999999,9776066.93,PP_FAC_Act,INPR HM ACT COTE,
EXPORT_PRMP_ADP,2026-01-21T00:00:00,Groupe MH,INPR,INP2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6687.29,2026-01-19T00:00:00,P,940,1,3404388,3404388,6286052.6,PP,FC_Act_EUR,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,3404388,2881664.5999999996,,0,6286052.6,2881664.5999999996,INPR AG,Hors mandat INPR AG,0,2881664.5999999996,6286052.6,PP_FAC_Act,INPR HM ACT COTE,
