PMVL[Source Name],PMVL[Holding date],PMVL[GROUPE],PMVL[ENTITE],PMVL[Selected Fund code],PMVL[ISIN],PMVL[Orig. name],PMVL[Quote],PMVL[Quote Date],PMVL[Quote Mode],PMVL[Quantity],PMVL[Inst. Nominal],PMVL[Purch. Val. (clean) (ptf cur.)],PMVL[VNC Agrege dirty (ptf cur.)],PMVL[PRMP MtM],PMVL[RefUnik Position],PMVL[Ref Unik Codes],PMVL[CIC],PMVL[Inst Num],PMVL[Ref Unik Codes Completed],PMVL[PRMP VNC],PMVL[PRMP PMVL],PMVL[Parametres_Indices.TICKER],PMVL[PFMIndice.Perf J / J-1],PMVL[MtM Estimé],PMVL[PMVL Estimé],PMVL[CANTON],PMVL[3A],PMVL[PRATIC_PMVLEstimée],PMVL[PMVL Estimée + PRATIC],PMVL[MtM Estimée + PRATIC],PMVL[PFMIndice.Date J],PMVL[Ref Unik Light],PMVL[Ptf name],PMVL[Holding Date 2],PMVL[Ref Unik Asset]
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007074166,LBPAM ACTIONS VALUE EURO,3218.29,2026-03-20T00:00:00,P,4166,1,4766835.38,4766835.38,13407396.14,PP,PP_FAC_Act_EUR_LC,FR41,5873493,PP_FAC_Act_EUR_LC,4766835.38,8640560.760000002,M7EM,0.0107658220656743,13551737.78120725,8784902.40120725,INPR AG,Hors mandat INPR AG,0,8784902.40120725,13551737.781207249,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0014010YJ4,LBPAM ISR Actions Focus Euro I2,9865.22,2026-03-20T00:00:00,P,191.82795,1,477592.1998118414,477592.1998118414,1892424.93,PP,,FR41,12771012,PP_FAC_Act_EUR_LC,477592.1998118414,1414832.7301881586,M7EM,0.0107658220656743,1912798.440069026,1435206.2402571847,INPR AG,Hors mandat INPR AG,0,1435206.2402571847,1912798.440069026,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007442041,UBS MM FRA ACT,11732.57,2026-03-20T00:00:00,P,2053,1,6495313.97,6495313.97,24086966.209999997,PP,PP_FAC_Act_EUR_LC,FR41,8615533,PP_FAC_Act_EUR_LC,6495313.97,17591652.24,M7EM,0.0107658220656743,24346282.20231877,17850968.23231877,INPR AG,Hors mandat INPR AG,0,17850968.23231877,24346282.20231877,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007021936,FEDERIS ISR FRANCE MH,438.05,2026-03-20T00:00:00,P,11000,1,1414820,1414820,4818550,PP,PP_FAC_Act_EUR_LC,FR41,5873258,PP_FAC_Act_EUR_LC,1414820,3403730,M7EM,0.0107658220656743,4870425.651914555,3455605.6519145546,INPR AG,Hors mandat INPR AG,0,3455605.6519145546,4870425.651914555,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0011304278,TOCQUEVILLE MID CAP EURO ISRMH,3284.92,2026-03-20T00:00:00,P,3900,1,5566093.5,5566093.5,12811188,PP,PP_FAC_Act_EUR_SMC,FR41,7240253,PP_FAC_Act_EUR_SMC,5566093.5,7245094.5,M7EM,0.0107658220656743,12949110.970457902,7383017.470457902,INPR AG,Hors mandat INPR AG,0,7383017.470457902,12949110.970457902,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,71023.06059,1,12776999.594229193,12776999.594229193,33527856.21,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,12776999.594229193,20750856.61577081,M7EM,0.0107658220656743,33888811.14420038,21111811.549971186,INPR AG,Hors mandat INPR AG,0,21111811.549971186,33888811.14420038,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0000986531,SELECTION VALEURS MOYENNES,922.52,2026-03-20T00:00:00,P,9833,1,4420615.980000001,4420615.98,9071139.16,PP,PP_FAC_Act_EUR_SMC,FR41,5873302,PP_FAC_Act_EUR_SMC,4420615.98,4650523.18,M7EM,0.0107658220656743,9168797.43012953,4748181.450129529,INPR AG,Hors mandat INPR AG,0,4748181.450129529,9168797.43012953,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR0007022967,LBPAM ACTIONS CROISSANCE EURO M,6057.46,2026-03-20T00:00:00,P,700,1,2869788,2869788,4240222,PP,PP_FAC_Act_EUR_LC,FR41,5873491,PP_FAC_Act_EUR_LC,2869788,1370434,M7EM,0.0107658220656743,4285871.475570958,1416083.475570958,INPR AG,Hors mandat INPR AG,0,1416083.475570958,4285871.475570958,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,INPR,INP2C,FR001400IAW6,MH AMUNDI ACTIONS EURO C,1387.96,2026-03-20T00:00:00,P,4140,1000,4983525,4983525,5746154.4,PP,PP_FAC_Act_EUR_LC,FR41,10184067,PP_FAC_Act_EUR_LC,4983525,762629.4000000004,M7EM,0.0107658220656743,5808016.475832292,824491.4758322919,INPR AG,Hors mandat INPR AG,0,824491.4758322919,5808016.475832292,2026-03-23T00:00:00,PP_FAC_Act,INPR HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
EXPORT_PRMP_ADP,2026-03-24T00:00:00,Groupe MH,MHP,MHP1R,FR0007475975,MH Lazard action euro LC,472.07,2026-03-20T00:00:00,P,31529.50403,1,9380768.959800778,9380768.959800778,14884132.969999999,PP,PP_FAC_Act_EUR_LC,FR41,8009926,PP_FAC_Act_EUR_LC,9380768.959800778,5503364.010199221,M7EM,0.0107658220656743,15044372.897156855,5663603.937356077,MHP PERE,Mandats LBPAM MHP PERE,0,5663603.937356077,15044372.897156855,2026-03-23T00:00:00,PP_FAC_Act,MHP PERE HM ACT COTE,2026-03-24T00:00:00,FC_Act_EUR
