threshold,accuracy,balanced_accuracy,precision,recall,f1,mcc,tn,fp,fn,tp,roc_auc,pr_auc,brier,total_cost,fp_cost_total,fn_cost_total,n_fp,n_fn,cost_per_sample,avg_cost_fp,avg_cost_fn,fold
0.5,0.8605166051660517,0.7776796377388535,0.9166666666666666,0.910828025477707,0.9137380191693291,0.5496720637723632,165,91,98,1001,0.8739727877616013,0.9633769355404069,0.10352769758732153,71692439.31476977,31231383.562640257,40461055.75212952,91,98,52909.54930979319,343202.017171871,44154.719782476386,5
0.2,0.8605166051660517,0.6518336982484076,0.8611111111111112,0.9872611464968153,0.9198813056379822,0.46555384700235464,81,175,14,1085,0.8739727877616013,0.9633769355404069,0.10352769758732153,73086791.64282516,60469814.328871295,12616977.313953867,175,14,53938.59161832115,345541.79616497894,96381.41200483174,5
0.1,0.8457564575645756,0.600785870677889,0.8433641975308642,0.9945404913557779,0.9127348643006263,0.38665174089688226,53,203,6,1093,0.8739727877616013,0.9633769355404069,0.10352769758732153,76168549.57419893,75651342.54357302,517207.03062591597,203,6,56212.951715275965,372666.7120373055,9218.90134461779,5
0.55,0.855350553505535,0.7804875881483166,0.9192200557103064,0.9008189262966333,0.9099264705882353,0.5437912597565239,169,87,109,990,0.8739727877616013,0.9633769355404069,0.10352769758732153,76553457.39175136,25751672.891429182,50801784.50032218,87,109,56497.01652527776,295996.2401313699,49844.64049150875,5
0.6,0.8494464944649447,0.7888332432893539,0.9249762583095916,0.8862602365787079,0.9052044609665427,0.5433483397830856,177,79,125,974,0.8739727877616013,0.9633769355404069,0.10352769758732153,79947481.32458583,25190889.874161996,54756591.45042383,79,125,59001.8312358567,318872.0237235696,46848.14409624123,5
0.05,0.8302583025830258,0.5537775818926296,0.8279245283018868,0.9981801637852593,0.9051155115511551,0.2861419472761594,28,228,2,1097,0.8739727877616013,0.9633769355404069,0.10352769758732153,82224562.41835238,81715968.67779437,508593.7405580151,228,2,60682.33388808294,358403.37139383494,27196.12403385341,5
0.65,0.8169741697416975,0.78229853844404,0.929364278506559,0.83803457688808,0.8813397129186603,0.4986202764100647,186,70,178,921,0.8739727877616013,0.9633769355404069,0.10352769758732153,85635970.58248352,25097987.084161997,60537983.49832152,70,178,63199.97828965573,358542.6726308857,36372.566480911,5
0.7,0.7985239852398524,0.7844080556187443,0.9356540084388185,0.8070973612374887,0.8666340986809966,0.4857237558227943,195,61,212,887,0.8739727877616013,0.9633769355404069,0.10352769758732153,113033524.44433549,21918853.123627655,91114671.32070783,61,212,83419.57523567195,359325.4610430763,45964.06709760724,5
0.75,0.7616236162361624,0.7706490986123748,0.9379232505643341,0.7561419472247498,0.83727959697733,0.44540196352132466,201,55,268,831,0.8739727877616013,0.9633769355404069,0.10352769758732153,126863919.71721429,20465680.166907005,106398239.55030727,55,268,93626.50901639431,372103.2757619457,42458.59768091927,5
0.8,0.7284132841328413,0.7741465963375795,0.9517923362175525,0.7006369426751592,0.8071278825995807,0.4375836642313748,217,39,329,770,0.8739727877616013,0.9633769355404069,0.10352769758732153,199589235.79655802,8609277.17012222,190979958.62643582,39,329,147298.32900114983,220750.69666980044,62080.88436483264,5
0.85,0.6627306273062731,0.7531313978616925,0.962536023054755,0.607825295723385,0.7451199107640826,0.3964736938081249,230,26,431,668,0.8739727877616013,0.9633769355404069,0.10352769758732153,279704241.7640945,7783101.092322927,271921140.6717715,26,431,206423.79465984832,299350.04201242025,67473.26115615212,5
